Title,Location,Company,Salary,Sponsored,Description
Artificial Intelligence,"Hyderabad, Telangana",Careerera,None,Organic,"A leading educational firm is looking for faculty members in Artificial Intelligence, Machine Learning, Data Science etc. Young and energetic experienced candidates with immense industrial knowledge should apply.
Job Types: Full-time, Contract
Salary: ₹15,000.00 to ₹30,000.00 /month"
Artificial Intelligence Internship,"Thiruvananthapuram, Kerala",Oracuz,"₹10,000 - ₹35,000 a month",Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Artificial Intelligence Developer - Machine Learning/Deep Le...,India,StarTele Logic,None,Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
English Annotators - India,None,TransPerfect Translations Inc.,None,Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Talent Acquisition specialist,"Hyderabad, Telangana",WAVELABS TECHNOLOGIES,None,Organic,"Just a few days ago Google AI launched an object detection competition on Kaggle called the Open Images Challenge. It’s great to see since the computer vision community hasn’t had such a new massive competition in a while.
Job Types: Full-time, Part-time, Internship, Fresher
Salary: ₹10,000.00 to ₹35,000.00 /month
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Artificial Intelligence,"Hyderabad, Telangana",Careerera,None,Organic,null
Artificial Intelligence and Machine learning Trainer,"Badarpur, Delhi",Digital School of Delhi,None,Organic,null
Artificial Intelligence,"New Delhi, Delhi",Delvetech,None,Organic,null
Artificial Intelligence,"Kolkata, West Bengal",newAmps Consulting,None,Organic,null
Artificial Intelligence / Data Science/ Machine Learning,India,TATA ELXSI LTD.,"₹3,50,000 - ₹5,00,000 a year",Organic,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Salary : 3.5 Lacs-5 Lacs
Industry : IT-Software / Software Services
Functional Area : IT-Software / Software Services
Role : Junior Engineers
Keyskills
BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. Mathematics Compulsory
Desired Candidate Profile
Company Profile:
Tata Elxsi is an Indian design company and a part of the Tata Group. It provides design and technology services for product engineering and solutions across industries including broadcast, communications, and automotive."
